  96.367  133.398  119.399
  82.368  115.895  120.086
  83.521  116.325  120.949
  84.502  117.101  120.080
  84.400  118.588  120.420
  85.200  119.640  119.608
  85.673  120.589  120.666
  86.743  121.649  120.754
  87.206  122.767  119.871
  88.643  122.601  119.457
  89.621  122.329  120.603
  89.243  122.810  121.997
  81.280  115.196  120.809
  89.450  126.228  123.160
  89.184  124.770  123.319
  89.249  124.226  122.087
  88.955  124.158  124.340
  89.803  126.710  121.752
  90.612  126.686  124.007
  88.459  129.200  124.855
 118.406  139.343  105.353
 117.942  137.866  106.983
 117.714  138.476  105.780
 116.448  137.912  105.138
 116.128  138.462  103.698
 114.841  138.193  102.745
 113.539  137.886  101.814
 109.975  134.364  103.654
 110.308  135.070  102.001
 111.277  136.201  102.424
 109.189  138.952  115.229
 108.153  140.023  115.458
 106.843  139.686  116.223
 108.931  141.251  115.753
 110.364  139.018  115.495
 108.606  137.949  114.512
 109.505  137.270  113.654
 109.193  137.309  112.212
 110.417  136.661  111.604
 107.394  131.818  111.694
 107.661  130.331  111.479
 106.357  129.633  111.154
 106.102  128.835  109.588
 108.009  132.251  112.982
 108.314  133.730  113.143
 107.020  134.549  113.144
 106.546  134.980  111.755
 107.678  135.693  111.117
 108.011  136.537  112.103
 108.188  135.590  110.029
 111.739  137.146   99.813
 112.349  136.850  101.492
 111.288  135.529   99.242
 102.896  133.512  119.117
 102.821  132.166  119.695
 103.326  131.150  118.985
 102.152  131.981  121.030
 102.376  134.435  119.702
 103.505  133.733  117.898
 103.357  135.075  117.410
 103.446  135.221  115.904
 104.502  136.094  115.153
 103.185  129.195  110.033
 101.903  128.609  109.372
 100.451  128.590  109.804
  99.477  130.049  110.252
 102.970  130.273  111.113
 103.541  130.135  112.518
 104.065  131.478  113.007
 102.950  132.328  113.557
 103.518  133.657  113.961
 103.201  133.931  115.265
 104.135  134.351  113.201
 104.458  127.931  110.340
 116.236  140.775  109.236
 116.616  141.697  108.175
 116.652  141.117  106.982
 116.912  143.141  108.391
 116.312  141.069  110.409
 115.743  139.541  108.853
 114.568  139.104  109.538
 114.635  137.626  109.686
 114.217  136.991  111.041
 109.071  132.515  103.818
 108.859  132.860  105.589
 107.750  132.176  106.384
 107.725  132.873  107.726
 106.697  132.101  108.969
 110.199  132.776  106.304
 110.619  134.181  106.758
 111.521  134.344  107.968
 112.676  135.332  107.812
 112.853  136.554  108.671
 114.170  136.848  108.580
 112.096  137.197  109.342
 108.027  132.756  110.341
 106.593  150.354  125.760
 105.285  149.691  125.382
 105.696  148.616  124.371
 104.526  148.249  123.543
 104.557  147.028  122.684
 103.106  146.872  122.229
 102.600  145.491  121.843
 103.576  144.333  121.615
 103.050  143.000  122.061
 103.245  141.977  120.989
 103.583  140.556  121.348
 107.040  150.960  127.062
 106.460  140.206  119.158
 105.247  139.596  119.780
 104.862  140.432  120.746
 104.731  138.553  119.487
 106.895  141.454  119.971
 106.273  140.253  117.567
 107.619  140.204  114.058
  97.583  142.415  130.886
  98.065  141.422  128.546
  97.132  141.151  129.969
  98.444  138.705  129.056
  97.743  139.446  127.688
  95.765  138.838  127.870
  95.447  138.607  129.471
  97.462  137.009  127.799
  95.709  136.959  127.495
  94.264  133.021  130.371
  95.935  133.220  130.344
  94.305  135.630  128.996
  94.442  134.017  128.485
  91.203  144.210  141.571
  90.081  143.038  141.041
  90.823  147.089  140.640
  90.482  146.204  142.014
  89.174  146.822  141.095
  90.808  146.146  135.887
  91.987  144.952  136.303
  90.960  144.487  134.372
  90.802  142.280  134.677
  90.883  142.288  136.366
  92.160  143.151  135.580
  86.676  137.379  130.230
  88.959  136.417  131.769
  87.851  135.797  130.621
  88.266  135.181  133.556
  88.474  134.415  132.086
  87.512  139.685  130.623
  86.021  139.160  130.179
  84.969  140.516  131.717
  86.066  141.123  130.508
  85.322  141.869  133.223
  85.491  142.699  131.735
  86.195  143.752  133.693
  86.981  143.786  132.191
  95.820  134.984  127.362
  82.238  139.514  144.257
  83.525  138.656  143.285
  83.052  141.306  145.839
  82.505  141.990  144.374
  84.068  142.548  144.966
  87.809  140.100  141.784
  87.333  138.411  141.992
  86.911  140.023  139.499
  88.974  139.291  140.418
  88.754  138.602  138.863
  88.541  137.601  140.299
  84.605  133.015  134.569
  84.260  130.272  134.269
  83.738  131.699  133.371
  82.905  132.196  136.016
  82.742  130.422  135.780
  84.261  131.333  136.998
  85.884  131.704  137.158
  85.766  133.393  138.151
  84.432  132.558  138.800
  85.136  134.504  139.547
  83.639  134.181  139.459
  83.713  136.196  140.201
  83.045  136.542  138.692
  79.438  131.912  136.280
  79.773  133.495  135.746
  80.899  132.769  136.833
  97.622  147.528  127.733
  96.543  146.480  128.778
 100.604  146.864  129.242
 100.060  148.074  130.405
  99.715  148.331  128.708
  96.626  146.844  132.445
  95.345  145.827  131.937
  97.853  145.355  133.500
  96.197  144.643  135.368
  94.944  145.268  134.305
  96.283  146.296  134.809
  95.329  137.672  132.755
  93.720  138.940  132.257
  94.398  137.929  131.041
  92.683  137.630  129.910
  92.462  139.058  130.353
  95.416  137.501  134.823
  93.838  137.829  135.134
  94.518  139.818  135.242
  94.569  139.949  133.520
  97.224  139.692  134.792
  96.204  140.880  135.409
  97.645  141.041  132.744
  97.784  141.811  134.129
  85.039  148.665  155.716
  83.545  149.500  155.615
  85.538  148.880  153.499
  84.181  149.910  153.133
  82.694  147.893  153.276
  84.076  146.870  153.580
  85.049  147.254  151.573
  84.393  148.864  151.388
  82.212  147.532  150.572
  83.363  146.282  150.307
  84.456  148.936  149.394
  82.851  148.714  148.776
  83.453  147.204  147.285
  84.231  146.204  148.506
  86.387  147.314  148.128
  85.682  148.393  146.951
  85.222  146.615  145.498
  84.960  145.499  146.786
  87.136  144.769  146.861
  87.739  145.969  145.705
  85.868  145.250  144.248
  85.839  143.727  145.140
  84.969  151.497  154.537
  86.388  150.574  155.023
  85.307  151.227  156.222
  88.639  142.085  142.939
  91.097  142.383  144.434
  91.325  142.637  142.731
  90.594  141.195  143.232
  89.280  145.040  142.994
  88.146  144.203  142.027
  87.966  144.842  140.347
  88.526  144.562  138.726
  88.436  146.195  139.336
  99.898  122.176  115.309
 100.092  123.735  114.380
  98.462  124.328  114.744
  98.553  124.031  111.855
 100.113  124.679  112.336
  98.843  126.265  113.868
  97.473  125.694  113.229
  98.475  127.087  111.028
  99.807  127.211  112.171
  96.851  130.101  113.914
  96.626  129.161  115.358
  97.507  127.510  114.426
  99.088  128.246  114.615
  91.764  128.477  124.032
  90.361  128.562  122.988
  91.398  127.952  126.167
  89.823  127.241  126.443
  90.200  128.801  127.172
  88.986  131.834  123.870
  89.588  130.872  122.574
  89.111  133.021  121.885
  90.537  134.732  121.524
  91.874  134.039  122.432
  90.530  134.798  123.272
  96.446  133.439  121.650
  95.589  136.395  121.419
  97.293  135.648  121.732
  95.886  137.724  122.740
  97.361  137.492  122.124
  94.096  134.276  120.180
  93.982  134.389  121.861
  94.093  131.784  121.995
  95.115  131.773  120.725
  92.818  130.684  120.721
  93.739  131.017  119.359
  91.709  131.433  118.533
  92.286  133.055  118.820
  97.303  128.758  112.238
 102.610  144.868  128.575
 104.038  145.488  129.438
 106.157  143.281  129.490
 106.104  144.161  127.928
 106.009  142.429  127.927
 100.602  142.328  126.872
 102.025  141.510  126.253
 100.192  140.706  128.416
  98.949  140.876  126.781
  99.276  139.190  126.450
  99.995  140.420  125.510
  98.769  135.207  127.270
  99.710  133.285  125.392
  98.082  132.947  125.856
  99.966  133.302  128.065
 100.015  131.806  127.026
  99.893  136.716  125.615
 100.689  135.384  125.052
 101.374  134.412  126.853
 100.503  135.185  128.016
 103.197  135.990  126.863
 102.981  135.232  128.352
 104.154  137.187  128.499
 102.909  137.125  129.685
  95.786  127.364  110.412
  95.352  128.288  111.986
  96.492  124.232  112.294
  97.003  125.220  110.939
  95.366  124.564  110.962
  93.263  128.103  115.233
  93.792  126.556  115.380
  95.137  129.012  116.422
  93.380  129.097  117.569
  94.251  128.096  118.629
  92.984  127.399  117.530
 101.986  131.501  116.313
 101.090  133.444  116.530
  99.550  132.973  115.934
  99.828  134.235  117.936
 100.117  132.716  118.861
  99.690  130.367  117.722
 101.188  130.403  118.495
 101.685  128.308  117.626
 101.045  128.678  116.047
  99.486  128.249  118.555
 100.291  126.871  118.014
  98.342  126.673  118.626
  98.202  126.044  117.089
  82.700  115.296  119.233
  81.874  116.776  119.710
  83.988  115.459  121.437
  83.112  116.961  121.753
  84.245  116.915  119.051
  85.516  116.693  120.090
  84.646  118.660  121.484
  83.342  118.856  120.436
  84.613  120.237  118.936
  85.898  119.197  118.900
  86.072  119.935  121.430
  84.747  120.996  121.091
  87.675  121.119  120.876
  86.537  122.037  121.758
  87.377  123.597  120.512
  86.530  123.145  119.123
  88.912  123.526  118.962
  88.684  121.767  118.781
  90.614  122.743  120.383
  89.782  121.244  120.611
  90.003  122.411  122.638
  88.318  122.430  122.431
  80.620  114.785  120.043
  80.724  115.928  121.406
  81.678  114.409  121.450
  88.528  126.703  123.511
  90.853  127.027  121.690
  89.238  127.585  121.489
  89.581  125.997  120.970
  91.540  126.261  123.582
  90.559  126.289  125.024
  88.002  128.283  124.485
  88.199  130.032  124.198
  87.950  129.426  125.793
 117.246  137.252  107.225
 115.671  138.093  105.900
 116.578  136.826  105.088
 117.029  138.179  103.156
 116.210  139.526  103.632
 114.168  138.440  103.546
 115.207  137.207  102.612
 114.127  137.522  101.005
 113.205  138.896  101.588
 109.402  135.438  101.510
 110.788  134.345  101.345
 111.952  135.639  103.059
 110.759  136.886  103.107
 106.675  138.610  116.057
